,YearMonth,Energy_from_RE (MU),CO2 (Kilo Tonnes),Monthly_Energy_Intensity (MU/Bill_USD),Monthly_GDP(Bill_USD)
0,2013-03-01,326,7.416,16.326209660045674,154.72666666666666
1,2013-04-01,10144,225.46800000000002,506.03235813692964,154.72666666666666
2,2013-05-01,14664,310.224,537.3314231548106,154.72666666666666
3,2013-06-01,16290,341.604,473.0186565556466,154.72666666666666
4,2013-07-01,20053,430.416,515.7785772760567,154.72666666666666
5,2013-08-01,21959,488.172,474.7119651859193,154.72666666666666
6,2013-09-01,16705,376.596,481.59636347968467,154.72666666666666
7,2013-10-01,14110,322.032,495.60235253565423,154.72666666666666
8,2013-11-01,10358,237.31199999999998,494.8597526821492,154.72666666666666
9,2013-12-01,9768,220.74,532.4550820802275,154.72666666666666
10,2014-01-01,7210,159.384,380.6935310647188,169.9275
11,2014-02-01,8751,197.244,449.34986979741353,169.9275
12,2014-03-01,10778,243.048,495.621956422592,169.9275
13,2014-04-01,11275,256.512,509.4484412470024,169.9275
14,2014-05-01,14578,320.196,527.0736049197452,169.9275
15,2014-06-01,18155,373.02,536.8418884524282,169.9275
16,2014-07-01,20307,419.52,543.479425048918,169.9275
17,2014-08-01,21975,483.372,535.356549116535,169.9275
18,2014-09-01,20039,447.48,508.4945050094893,169.9275
19,2014-10-01,12952,298.068,522.1515057892336,169.9275
20,2014-11-01,9092,205.98,504.9276897500405,169.9275
21,2014-12-01,8870,196.524,507.8118609406952,169.9275
22,2015-01-01,8461,187.992,485.0935781212118,175.29916666666668
23,2015-02-01,8379,185.976,461.6604946781454,175.29916666666668
24,2015-03-01,10029,225.996,478.9817407384519,175.29916666666668
25,2015-04-01,10666,238.992,459.1054340437062,175.29916666666668
26,2015-05-01,15166,335.148,510.1843990511458,175.29916666666668
27,2015-06-01,17385,370.98,531.5125095669783,175.29916666666668
28,2015-07-01,20556,425.724,496.51918862515976,175.29916666666668
29,2015-08-01,23341,507.24,549.5120246816157,175.29916666666668
