Entity,Code,Year,Annual CO₂ emissions
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
