Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
India,IND,1980,0,0,0,0,154.0038,6.8009653,11.331031,659.565,376.81616,0,0,0,0,154.0038,6.8009653,11.331031,659.565,376.81616
India,IND,1981,0,0,0,0,164.11932,6.8500695,19.781782,742.1424,405.65527,0,0,0,0,164.11932,6.8500695,19.781782,742.1424,405.65527
India,IND,1982,0,0,0,0,138.49908,5.990742,25.934563,733.90405,422.65634,0,0,0,0,138.49908,5.990742,25.934563,733.90405,422.65634
India,IND,1983,0,0,0,0,133.4536,8.544173,30.857752,779.0481,444.35297,0,0,0,0,133.4536,8.544173,30.857752,779.0481,444.35297
India,IND,1984,0,0,0,0,149.11792,11.220365,35.340595,818.31085,477.06705,0,0,0,0,149.11792,11.220365,35.340595,818.31085,477.06705
India,IND,1985,0,0,0,0,143.92513,12.521633,43.228283,857.39703,517.6358,0,0,0,0,143.92513,12.521633,43.228283,857.39703,517.6358
India,IND,1986,0,0,0,0,146.02434,13.945662,60.40024,921.24005,544.25946,0,0,0,0,146.02434,13.945662,60.40024,921.24005,544.25946
India,IND,1987,0,0,0,0,136.00703,14.780437,69.577,1011.6298,561.7668,0,0,0,0,136.00703,14.780437,69.577,1011.6298,561.7668
India,IND,1988,0,0,0,0,151.70818,16.879652,81.50488,1085.5574,616.5008,0,0,0,0,151.70818,16.879652,81.50488,1085.5574,616.5008
India,IND,1989,0,0,0,0,176.02716,11.171261,96.904594,1179.941,667.77264,0,0,0,0,176.02716,11.171261,96.904594,1179.941,667.77264
India,IND,1990,0.1174573,0,0,0.08417508,184.43628,17.763533,115.92735,1276.0251,694.0582,0.1174573,0,0,0.08417508,184.43628,17.763533,115.92735,1276.0251,694.0582
India,IND,1991,0.2970979,0,0,0.3136389,205.33023,15.038236,129.10802,1357.8777,706.1011,0.2970979,0,0,0.3136389,205.33023,15.038236,129.10802,1357.8777,706.1011
India,IND,1992,0.37309965,0,0,0.24574998,194.61317,17.788084,144.34691,1438.2565,744.1866,0.37309965,0,0,0.24574998,194.61317,17.788084,144.34691,1438.2565,744.1866
India,IND,1993,0.7876548,0,0,0.26325,196.47916,17.297039,146.67085,1489.6254,752.0428,0.7876548,0,0,0.26325,196.47916,17.297039,146.67085,1489.6254,752.0428
India,IND,1994,1.1883916,0,0,0.5313333,222.81142,13.736968,158.56918,1537.2871,808.2667,1.1883916,0,0,0.5313333,222.81142,13.736968,158.56918,1537.2871,808.2667
