Entity,Code,Year,Renewables (% equivalent primary energy)
India,IND,1965,8.642867
India,IND,1966,8.758059
India,IND,1967,9.5069475
India,IND,1968,10.26706
India,IND,1969,10.283279
India,IND,1970,11.150708
India,IND,1971,11.763085
India,IND,1972,10.844438
India,IND,1973,11.316324
India,IND,1974,10.27145
India,IND,1975,11.421364
India,IND,1976,11.392174
India,IND,1977,11.753042
India,IND,1978,14.048056
India,IND,1979,12.826431
India,IND,1980,12.743205
India,IND,1981,12.260989
India,IND,1982,10.437127
India,IND,1983,9.557957
India,IND,1984,10.000821
India,IND,1985,9.139798
India,IND,1986,8.661662
India,IND,1987,7.5822268
India,IND,1988,7.7713346
India,IND,1989,8.257143
India,IND,1990,8.068385
India,IND,1991,8.530875
India,IND,1992,7.686875
India,IND,1993,7.58807
India,IND,1994,8.187422
India,IND,1995,7.258058
India,IND,1996,6.4084535
India,IND,1997,6.202084
India,IND,1998,6.971399
India,IND,1999,6.734852
India,IND,2000,6.041602
India,IND,2001,5.693083
India,IND,2002,5.2175255
India,IND,2003,5.14373
India,IND,2004,6.8866243
India,IND,2005,6.3590374
India,IND,2006,7.13375
India,IND,2007,7.276437
India,IND,2008,6.712009
India,IND,2009,5.9646955
India,IND,2010,6.056765
India,IND,2011,6.9671354
India,IND,2012,6.20846
India,IND,2013,6.7499924
India,IND,2014,6.8288
India,IND,2015,6.3568044
India,IND,2016,6.369765
India,IND,2017,6.792767
India,IND,2018,7.307381
India,IND,2019,8.1080675
India,IND,2020,8.892713
India,IND,2021,8.656782
India,IND,2022,9.421208
India,IND,2023,8.860951
India,IND,2024,9.146443
